Feature,Importance
numerical__G2,0.787342115915704
numerical__absences,0.1140925107147481
categorical__reason_home,0.01848950457686444
numerical__age,0.009873867832319212
numerical__G1,0.006077632839987505
numerical__famrel,0.004582595067709196
numerical__health,0.0040573438674898245
numerical__goout,0.003855448242783627
categorical__guardian_mother,0.0034489322319952885
numerical__studytime,0.0029933415811688427
categorical__reason_course,0.0029541002349982226
numerical__Walc,0.0024677122508326094
categorical__schoolsup_yes,0.0022863975089135115
categorical__romantic_yes,0.0022845363978183015
numerical__Fedu,0.0022004893545967707
numerical__freetime,0.00212304819464284
categorical__schoolsup_no,0.002092917066595255
categorical__Mjob_teacher,0.0017610323506646222
categorical__guardian_other,0.0016873012158466069
categorical__activities_yes,0.0013807574362181634
categorical__reason_other,0.0013107117067318143
categorical__Fjob_services,0.001292123255795395
numerical__failures,0.0012675665302907507
numerical__traveltime,0.0012282336998485684
categorical__romantic_no,0.0012269099563508895
categorical__activities_no,0.001223224866428779
categorical__Fjob_other,0.0010955199779519097
numerical__Medu,0.0010220810230321044
numerical__Dalc,0.0010057365410303788
categorical__Mjob_other,0.0009457716447083618
categorical__Mjob_at_home,0.0008591574940987441
categorical__Fjob_health,0.0008167318917866989
categorical__Mjob_services,0.0007351344423588828
categorical__Fjob_at_home,0.0007008734093996976
categorical__Mjob_health,0.0006742153361921984
categorical__guardian_father,0.0006083615395843624
categorical__famsize_GT3,0.0005601266363548394
categorical__reason_reputation,0.0005015545781338343
categorical__sex_M,0.0004996292701215889
categorical__internet_yes,0.0004945806479328477
categorical__paid_yes,0.0004807886438858676
categorical__address_R,0.00046826576413988217
categorical__famsup_no,0.00043775410020878175
categorical__internet_no,0.00043142717202446234
categorical__famsize_LE3,0.00042098617267221776
categorical__school_GP,0.00038841184440451806
categorical__paid_no,0.0003871994181577
categorical__sex_F,0.0003709317622812589
categorical__Pstatus_T,0.0003416106622541455
categorical__nursery_yes,0.00029173763664519736
categorical__address_U,0.0002850222018204325
categorical__Fjob_teacher,0.0002842545122235702
categorical__higher_no,0.0002619871402909378
categorical__school_MS,0.00024166922043958628
categorical__famsup_yes,0.00022637579778119642
categorical__Pstatus_A,0.000217373800465415
categorical__nursery_no,0.0001724547302404793
categorical__higher_yes,0.00017192009003475536
